order_id,customer_segment,purchase_amount,payment_method,delivery_address_area,sales_note,customer_feedback,revenue_category,payment_type,state,segment_priority,sentiment,sentiment_score,note_category,note_confidence,identified_issues,delivery_area_masked,sales_note_cleaned,feedback_generalized
ORD-2024-001,Enterprise,45000,Bank Transfer,New York NY,First-time client requiring technical consultation,The product exceeded our expectations and integration was smooth,Medium,Transfer,NY,1,POSITIVE,0.9991123080253601,technical_issue,0.5050818920135498,none,NY,First-time client requiring technical consultation,The product exceeded our expectations and integration was smooth
ORD-2024-002,SMB,8500,Credit Card,Los Angeles CA,Repeat customer with good payment history,Delivery was delayed but customer service handled it well,Low,Card,CA,2,POSITIVE,0.997933030128479,customer_relationship,0.7140538692474365,delay,CA,Repeat customer with good payment history,Delivery was delayed but customer service handled it well
ORD-2024-003,Individual,1200,PayPal,Chicago IL,Online purchase through website,Great product but the packaging could be improved,Low,Digital,IL,3,POSITIVE,0.8668179512023926,customer_relationship,0.5415773391723633,improve,IL,Online purchase through website,Great product but the packaging could be improved
ORD-2024-004,Enterprise,67500,Bank Transfer,Houston TX,Large order negotiated with 15% volume discount,Implementation team was very professional and knowledgeable,High,Transfer,TX,1,POSITIVE,0.9996742010116577,pricing_negotiation,0.7797471880912781,none,TX,Large order negotiated with [PERCENTAGE] volume discount,[DEPARTMENT] was very professional and knowledgeable
ORD-2024-005,SMB,12000,Credit Card,Phoenix AZ,Customer requested extended warranty,The software is intuitive but documentation needs improvement,Medium,Card,AZ,2,NEGATIVE,0.991125762462616,customer_relationship,0.622256338596344,improve,AZ,Customer requested extended warranty,The software is intuitive but documentation needs improvement
ORD-2024-006,Individual,850,Credit Card,Philadelphia PA,Customer service escalation due to billing issue,Quick resolution to my problem thanks to the support team,Low,Card,PA,3,POSITIVE,0.9959561228752136,customer_relationship,0.5671606659889221,problem,PA,Customer service escalation due to billing issue,Quick resolution to my problem thanks to the support team
ORD-2024-007,Enterprise,89000,Wire Transfer,San Antonio TX,Multi-year contract with quarterly payments,Excellent ROI and our productivity increased significantly,High,Transfer,TX,1,POSITIVE,0.9997068047523499,customer_relationship,0.29542529582977295,none,TX,Multi-year contract with quarterly payments,Excellent ROI and our productivity increased significantly
ORD-2024-008,SMB,3200,Bank Transfer,San Diego CA,Small business owner looking for cost-effective solution,Perfect fit for our small team but setup was complicated,Low,Transfer,CA,2,NEGATIVE,0.9862990975379944,product_feedback,0.27621862292289734,complicated,CA,Small business owner looking for cost-effective solution,Perfect fit for our small team but setup was complicated
ORD-2024-009,Individual,2400,PayPal,Dallas TX,Gift purchase for corporate client,Beautiful presentation and arrived exactly on time,Low,Digital,TX,3,POSITIVE,0.9998629093170166,customer_relationship,0.7709559202194214,none,TX,Gift purchase for corporate client,Beautiful presentation and arrived exactly on time
ORD-2024-010,Enterprise,125000,Bank Transfer,San Jose CA,Fortune 500 company with strict compliance requirements,The security features meet all our enterprise standards,High,Transfer,CA,1,POSITIVE,0.9963812828063965,product_feedback,0.4230341911315918,none,CA,[COMPANY_ID] company with strict compliance requirements,The security features meet all our enterprise standards
ORD-2024-011,SMB,5600,Credit Card,Austin TX,Startup company with limited budget,Great value for money and scalable for our growth,Low,Card,TX,2,POSITIVE,0.9998003840446472,technical_issue,0.3634259104728699,none,TX,Startup company with limited budget,Great value for money and scalable for our growth
ORD-2024-012,Individual,950,Credit Card,Jacksonville FL,Customer comparison shopping between competitors,Competitive pricing and better features than alternatives,Low,Card,FL,3,POSITIVE,0.9990535378456116,customer_relationship,0.43395450711250305,none,FL,Customer comparison shopping between competitors,Competitive pricing and better features than alternatives
ORD-2024-013,Enterprise,78000,Wire Transfer,Fort Worth TX,Government contract requiring special certifications,Compliance documentation was thorough and well-organized,High,Transfer,TX,1,POSITIVE,0.9998086094856262,technical_issue,0.6802802681922913,none,TX,Government contract requiring special certifications,Compliance documentation was thorough and well-organized
ORD-2024-014,SMB,14500,Bank Transfer,Charlotte NC,Family business transitioning to digital solutions,The training sessions were helpful for our older employees,Medium,Transfer,NC,2,POSITIVE,0.9908550977706909,technical_issue,0.34260308742523193,none,NC,Family business transitioning to digital solutions,The training sessions were helpful for our older employees
ORD-2024-015,Individual,1800,PayPal,Seattle WA,Tech enthusiast interested in latest features,Cutting-edge technology but could use better user interface,Low,Digital,WA,3,NEGATIVE,0.9916011691093445,technical_issue,0.36334875226020813,none,WA,Tech enthusiast interested in latest features,Cutting-edge technology but could use better user interface
ORD-2024-016,Enterprise,92000,Bank Transfer,Denver CO,International client requiring multi-language support,Localization features work perfectly for our global team,High,Transfer,CO,1,POSITIVE,0.9998548030853271,customer_relationship,0.40467989444732666,none,CO,International client requiring multi-language support,Localization features work perfectly for our global team
ORD-2024-017,SMB,6800,Credit Card,Washington DC,Non-profit organization with budget constraints,Appreciated the discount for non-profit organizations,Low,Card,DC,2,POSITIVE,0.9977001547813416,technical_issue,0.356282502412796,none,DC,Non-profit organization with budget constraints,Appreciated the discount for non-profit organizations
ORD-2024-018,Individual,1350,Credit Card,Boston MA,Student purchase with educational discount,Excellent learning tool for my computer science studies,Low,Card,MA,3,POSITIVE,0.999822199344635,customer_relationship,0.5184865593910217,none,MA,Student purchase with educational discount,Excellent learning tool for my computer science studies
ORD-2024-019,Enterprise,156000,Wire Transfer,El Paso TX,Manufacturing company upgrading entire system,Migration from legacy system was smoother than expected,High,Transfer,TX,1,POSITIVE,0.5042520761489868,product_feedback,0.41943955421447754,none,TX,Manufacturing company upgrading entire system,Migration from legacy system was smoother than expected
ORD-2024-020,SMB,9200,PayPal,Nashville TN,Restaurant chain implementing new POS system,User-friendly interface and great customer support,Low,Digital,TN,2,POSITIVE,0.9998412132263184,technical_issue,0.33966174721717834,none,TN,Restaurant chain implementing new POS system,User-friendly interface and great customer support
ORD-2024-021,Individual,780,Credit Card,Memphis TN,First-time buyer hesitant about purchase,Took some time to decide but very satisfied with the product,Low,Card,TN,3,POSITIVE,0.9990252256393433,customer_relationship,0.4077986478805542,none,TN,First-time buyer hesitant about purchase,Took some time to decide but very satisfied with the product
ORD-2024-022,Enterprise,234000,Wire Transfer,Portland OR,Large-scale deployment across multiple locations,Scalability exceeded our expectations for enterprise use,High,Transfer,OR,1,POSITIVE,0.9934856295585632,product_feedback,0.35387465357780457,none,OR,Large-scale deployment across multiple locations,Scalability exceeded our expectations for enterprise use
ORD-2024-023,SMB,7500,Bank Transfer,Oklahoma City OK,Local retail store modernizing operations,Simple integration with existing systems,Low,Transfer,OK,2,POSITIVE,0.9994000196456909,customer_relationship,0.47841042280197144,none,OK,Local retail store modernizing operations,Simple integration with existing systems
ORD-2024-024,Individual,1650,PayPal,Las Vegas NV,Entertainment industry professional,Perfect for creative workflows and collaboration,Low,Digital,NV,3,POSITIVE,0.9998818635940552,product_feedback,0.4559011459350586,none,NV,Entertainment industry professional,Perfect for creative workflows and collaboration
ORD-2024-025,Enterprise,98000,Bank Transfer,Louisville KY,Healthcare provider with strict privacy requirements,HIPAA compliance features work flawlessly,High,Transfer,KY,1,POSITIVE,0.9997594952583313,customer_relationship,0.4123961925506592,none,KY,Healthcare provider with strict privacy requirements,HIPAA compliance features work flawlessly
ORD-2024-026,SMB,4200,Credit Card,Baltimore MD,Construction company needing mobile solution,Rugged design works well in harsh environments,Low,Card,MD,2,POSITIVE,0.9934559464454651,technical_issue,0.5818095207214355,none,MD,Construction company needing mobile solution,Rugged design works well in harsh environments
ORD-2024-027,Individual,1100,Credit Card,Milwaukee WI,Freelancer upgrading home office setup,Affordable option with professional features,Low,Card,WI,3,POSITIVE,0.9990413784980774,customer_relationship,0.3316154479980469,none,WI,Freelancer upgrading home office setup,Affordable option with professional features
ORD-2024-028,Enterprise,187000,Wire Transfer,Albuquerque NM,Energy company with complex infrastructure,Custom configuration met all technical requirements,High,Transfer,NM,1,POSITIVE,0.9965315461158752,technical_issue,0.5012016296386719,none,NM,Energy company with complex infrastructure,Custom configuration met all technical requirements
ORD-2024-029,SMB,11000,Bank Transfer,Tucson AZ,Marketing agency expanding client services,Helps us deliver better results for our clients,Medium,Transfer,AZ,2,POSITIVE,0.9981866478919983,customer_relationship,0.6925137639045715,none,AZ,Marketing agency expanding client services,Helps us deliver better results for our clients
ORD-2024-030,Individual,920,PayPal,Fresno CA,Small business owner working from home,Easy to use and perfect for solo entrepreneurs,Low,Digital,CA,3,POSITIVE,0.999739944934845,customer_relationship,0.3431665301322937,none,CA,Small business owner working from home,Easy to use and perfect for solo entrepreneurs
ORD-2024-031,Enterprise,145000,Bank Transfer,Sacramento CA,Financial services firm with regulatory needs,Audit trail features essential for compliance,High,Transfer,CA,1,POSITIVE,0.9983265995979309,product_feedback,0.4212999641895294,none,CA,Financial services firm with regulatory needs,Audit trail features essential for compliance
ORD-2024-032,SMB,8900,Credit Card,Long Beach CA,E-commerce business scaling operations,Inventory management integration works perfectly,Low,Card,CA,2,POSITIVE,0.999841570854187,customer_relationship,0.4385072886943817,none,CA,E-commerce business scaling operations,Inventory management integration works perfectly
ORD-2024-033,Individual,1480,Credit Card,Kansas City MO,Graphic designer seeking creative tools,Excellent for design work but learning curve is steep,Low,Card,MO,3,NEGATIVE,0.9624923467636108,product_feedback,0.44787129759788513,none,MO,Graphic designer seeking creative tools,Excellent for design work but learning curve is steep
ORD-2024-034,Enterprise,76000,Wire Transfer,Mesa AZ,Transportation company optimizing logistics,Real-time tracking capabilities are game-changing,High,Transfer,AZ,1,POSITIVE,0.9993060827255249,product_feedback,0.46196404099464417,none,AZ,Transportation company optimizing logistics,Real-time tracking capabilities are game-changing
ORD-2024-035,SMB,5800,Bank Transfer,Virginia Beach VA,Tourism business improving customer experience,Customer feedback features help us improve service,Low,Transfer,VA,2,POSITIVE,0.9983921647071838,customer_relationship,0.6051313877105713,improve,VA,Tourism business improving customer experience,Customer feedback features help us improve service
ORD-2024-036,Individual,1320,PayPal,Atlanta GA,Remote worker needing collaboration tools,Great for team communication and file sharing,Low,Digital,GA,3,POSITIVE,0.9998277425765991,technical_issue,0.5954546332359314,none,GA,Remote worker needing collaboration tools,Great for team communication and file sharing
ORD-2024-037,Enterprise,112000,Bank Transfer,Colorado Springs CO,Defense contractor with security requirements,Military-grade encryption meets all standards,High,Transfer,CO,1,POSITIVE,0.9882672429084778,technical_issue,0.388458251953125,none,CO,Defense contractor with security requirements,Military-grade encryption meets all standards
ORD-2024-038,SMB,6700,Credit Card,Omaha NE,Insurance agency digitizing processes,Paperless workflows improved our efficiency dramatically,Low,Card,NE,2,POSITIVE,0.9989445805549622,technical_issue,0.341953843832016,improve,NE,Insurance agency digitizing processes,Paperless workflows improved our efficiency dramatically
ORD-2024-039,Individual,890,Credit Card,Raleigh NC,Student using for research project,Academic features are comprehensive and well-designed,Low,Card,NC,3,POSITIVE,0.9998703002929688,technical_issue,0.4408753514289856,none,NC,Student using for research project,Academic features are comprehensive and well-designed
ORD-2024-040,Enterprise,203000,Wire Transfer,Miami FL,International trading company,Multi-currency support essential for global operations,High,Transfer,FL,1,POSITIVE,0.9979473948478699,customer_relationship,0.4165211617946625,none,FL,International trading company,Multi-currency support essential for global operations
ORD-2024-041,SMB,9800,Bank Transfer,Cleveland OH,Manufacturing firm improving quality control,Statistical analysis tools help track defects,Low,Transfer,OH,2,NEGATIVE,0.9027397632598877,product_feedback,0.6382623314857483,none,OH,Manufacturing firm improving quality control,Statistical analysis tools help track defects
ORD-2024-042,Individual,1590,PayPal,Tampa FL,Content creator expanding online presence,Social media integration saves significant time,Low,Digital,FL,3,NEGATIVE,0.9818722605705261,product_feedback,0.3949912488460541,none,FL,Content creator expanding online presence,Social media integration saves significant time
ORD-2024-043,Enterprise,167000,Bank Transfer,New Orleans LA,Oil refinery modernizing operations,Industrial-grade reliability for 24/7 operations,High,Transfer,LA,1,POSITIVE,0.9804159998893738,product_feedback,0.37502485513687134,none,LA,Oil refinery modernizing operations,Industrial-grade reliability for 24/7 operations
ORD-2024-044,SMB,7200,Credit Card,Wichita KS,Agricultural cooperative managing resources,Weather integration helps with crop planning,Low,Card,KS,2,POSITIVE,0.9969171285629272,product_feedback,0.6226281523704529,none,KS,Agricultural cooperative managing resources,Weather integration helps with crop planning
ORD-2024-045,Individual,1050,Credit Card,Arlington TX,Consultant building client presentations,Template library makes professional presentations easy,Low,Card,TX,3,POSITIVE,0.9943603873252869,customer_relationship,0.6284328699111938,none,TX,Consultant building client presentations,Template library makes professional presentations easy
ORD-2024-046,Enterprise,89500,Wire Transfer,Bakersfield CA,Telecommunications provider upgrading infrastructure,Network monitoring capabilities are excellent,High,Transfer,CA,1,POSITIVE,0.9998185038566589,technical_issue,0.4927751421928406,none,CA,Telecommunications provider upgrading infrastructure,Network monitoring capabilities are excellent
ORD-2024-047,SMB,4900,Bank Transfer,Tampa FL,Real estate agency tracking properties,Property management features streamline operations,Low,Transfer,FL,2,POSITIVE,0.9938309192657471,product_feedback,0.4840340316295624,none,FL,Real estate agency tracking properties,Property management features streamline operations
